"variable","skew_before","needs_log","skew_after","improved"
"sale_price",7.83328433403529,TRUE,-0.168653197598345,"Yes"
"number_of_bedrooms",0.883629491015513,FALSE,NA,"No"
"number_of_bathrooms",1.8169630592638,TRUE,1.12878002831677,"Yes"
"total_livable_area",3.87594312299426,TRUE,0.95294862992535,"Yes"
"category_code",NA,NA,NA,"No"
"exterior_condition",-1.62134517561034,TRUE,-2.62915319998891,"No"
"interior_condition",-0.77379642184341,FALSE,NA,"No"
"census_tract",-0.0201629877605656,FALSE,NA,"No"
"x_coord",0.537559034617588,FALSE,NA,"No"
"y_coord",0.216800461230286,FALSE,NA,"No"
"crime_count_15min_walk",0.68029093501574,FALSE,NA,"No"
"dist_to_park_ft",1.47530149838153,TRUE,-0.464826739833918,"Yes"
"park_within_15min_walk",0.871618088183125,FALSE,NA,"No"
"dist_transit_ft",2.34157252049875,TRUE,0.0130176914956017,"Yes"
"transit_15min_walk",0.597635491372393,FALSE,NA,"No"
"dist_to_hospital_ft",1.81695468071041,TRUE,-0.501233905710042,"Yes"
"hospitals_15min_walk",1.45764494189383,TRUE,0.760930961232401,"Yes"
"total_popE",0.568591430618209,FALSE,NA,"No"
"median_incomeE",0.842002766628233,FALSE,NA,"No"
"per_cap_incomeE",1.74188062481374,TRUE,0.33563657747147,"Yes"
"PCBACHMORE",0.763144110282903,FALSE,NA,"No"
"PCTPOVERTY",0.939180854548383,FALSE,NA,"No"
"dist_to_nearest_school_ft",1.36422286464005,TRUE,-0.882416992878811,"Yes"
"schools_within_15min_walk",0.488195803981607,FALSE,NA,"No"
"age",-0.545671916008892,FALSE,NA,"No"
